x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,expect
1,2,0.33,2,0.67,1.1,1,1.26,1.26,0.67,0.33,1.33,0.67,2,0.67,1.33,0.33,1.9,1.1,2.16,0.74,1.33,1,1.67,0.33,1
1,1,0.67,0.33,0.67,0.78,1.22,0.58,1.16,1,0.67,0.33,0.67,0,1,0.33,2,1,1.6,1.05,1.58,0,1,0.33,2,0
1,0,0.67,1,1,0.89,1.33,0.95,1.37,0,0.67,1,1,0.67,1.33,0.67,1.33,1.3,1.6,1.53,1.63,0.67,2.33,0.67,2.33,0
1,2.33,1.33,2.33,0.33,1.3,0.9,1.37,1.32,2,1,2.33,1,0.67,1.33,0.67,1.33,0.5,1.6,0.89,1.63,0.67,1.33,0.67,1.33,1
1,2,0.67,2.67,1,1.89,0.78,2.16,0.78,2,0.67,2.67,1,0.33,0,0.67,1,0.67,1.33,0.84,1.42,0.33,0,0.67,1,1
1,1.67,1.33,1.33,2,1.44,1.22,1.11,1.53,1.67,1.33,1.33,2,2,2.33,1,1.67,0.78,1.89,0.74,1.53,1,2,1,1.67,1
1,1.67,0.67,1.33,1.33,1.7,1.2,1.11,1.79,1.67,0.67,1.33,1.33,1,2.33,1,1.33,1,1.78,1.26,1.21,1,2.33,1,1.33,0
1,1.33,1,2.33,0.67,2.2,0.7,1.68,0.79,1.67,1,2.33,0.67,2.67,1.33,2,1.33,1.6,1.3,1.79,1.21,2,2,2,1.33,0
1,2,1,1,1.33,1.5,0.9,1.58,1.21,2,1,1,1.33,0.67,1.33,1,2.67,0.56,1.33,0.95,1.47,0.67,1.67,1,2.67,0
1,1.67,1.33,1,0.67,1.22,1.11,1.11,1.16,1.67,1,1,0.67,1,0.67,1.33,0.67,1.22,1.33,1.74,1,1,0.67,1.33,0.67,0
